"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         210,       -4.51797104,      -2.051313607,      -3.866697677,     -0.3347624511,      -1.917273581,       3.147036323
          0,           0,         211,      -4.519213908,      -2.052222054,      -3.869823528,     -0.3359497189,      -1.916606114,       3.142819897
          0,           0,         212,      -4.520434119,      -2.053115167,      -3.872644317,      -0.337111454,      -1.915983317,        3.13860235
          0,           0,         213,      -4.521631475,       -2.05399318,      -3.875144949,      -0.338245956,      -1.915404325,       3.134383587
          0,           0,         214,      -4.522805887,      -2.054856392,      -3.877336239,     -0.3393525137,       -1.91487129,       3.130163238
          0,           0,         215,      -4.523957333,      -2.055705126,      -3.879237467,     -0.3404320111,      -1.914385154,       3.125941606
          0,           0,         216,       -4.52508576,      -2.056539717,       -3.88087656,     -0.3414872347,      -1.913947925,       3.121718649
          0,           0,         217,       -4.52619115,      -2.057360485,      -3.882295072,     -0.3425199658,      -1.913561435,       3.117494171
          0,           0,         218,       -4.52727349,      -2.058167696,      -3.883534447,     -0.3435318798,      -1.913225674,       3.113268198
          0,           0,         219,       -4.52833277,      -2.058961639,      -3.884654666,     -0.3445254343,      -1.912940667,       3.109040438
          0,           0,         220,      -4.529368972,      -2.059742614,       -3.88571909,     -0.3455021846,       -1.91270538,       3.104810653
          0,           0,         221,      -4.530382049,       -2.06051096,      -3.886782969,     -0.3464644087,      -1.912518804,       3.100578487
          0,           0,         222,      -4.531372004,      -2.061267013,      -3.887890687,     -0.3474132118,      -1.912379811,       3.096343474
          0,           0,         223,       -4.53233883,      -2.062011097,      -3.889073242,     -0.3483493988,       -1.91228578,       3.092105564
          0,           0,         224,      -4.533282457,       -2.06274352,      -3.890347946,      -0.349274927,      -1.912233871,       3.087864391
          0,           0,         225,       -4.53420281,      -2.063464545,      -3.891725402,     -0.3501920457,      -1.912217569,       3.083619448
          0,           0,         226,      -4.535099699,      -2.064174506,      -3.893204972,     -0.3510981462,      -1.912238361,       3.079370173
          0,           0,         227,      -4.535973168,      -2.064873746,      -3.894777548,      -0.351992185,      -1.912297044,       3.075116182
          0,           0,         228,      -4.536823307,      -2.065562571,      -3.896415711,     -0.3528735875,       -1.91239395,       3.070857325
          0,           0,         229,      -4.537650207,      -2.066241315,      -3.898099001,     -0.3537416544,      -1.912529559,       3.066593336
          0,           0,         230,      -4.538453961,      -2.066910304,      -3.899803958,     -0.3545965035,      -1.912702643,       3.062323746
          0,           0,         231,      -4.539234686,      -2.067569898,      -3.901510358,     -0.3554364978,      -1.912913798,       3.058048246
          0,           0,         232,      -4.539992529,      -2.068220439,       -3.90318698,     -0.3562612364,      -1.913161841,       3.053766484
          0,           0,         233,      -4.540727644,       -2.06886228,      -3.904809706,     -0.3570687529,      -1.913445661,       3.049478621
          0,           0,         234,      -4.541440148,       -2.06949577,      -3.906351319,     -0.3578592873,       -1.91376516,       3.045184439
          0,           0,         235,      -4.542130221,      -2.070121248,      -3.907794691,     -0.3586334808,       -1.91411826,       3.040883635
